node number	D=1e-4	D=1e-2	D=1	D=1e2	D=1e4
3	2.04E+003	3.14E+000	3.37E-005	5.29E-011	7.86E-016
5	7.89E+002	6.28E-001	1.15E-006	1.65E-012	1.40E-015
9	6.76E+002	3.14E-002	3.65E-008	5.19E-014	2.32E-015
17	8.92E+001	1.24E-003	1.14E-009	4.93E-015	5.48E-015
33	6.52E+000	4.26E-005	3.58E-011	1.02E-014	1.09E-014
65	1.22E+000	1.34E-006	1.12E-012	2.19E-014	2.35E-014
129	2.01E-002	4.20E-008	5.49E-014	4.54E-014	4.24E-014
257	1.29E-003	1.31E-009	8.30E-014	8.48E-014	8.62E-014
513	4.09E-005	4.11E-011	1.76E-013	1.70E-013	1.68E-013
1025	1.28E-006	1.33E-012	3.48E-013	3.43E-013	3.39E-013
2049	4.01E-008	6.78E-013	6.75E-013	6.90E-013	6.82E-013
4097	1.25E-009	1.35E-012	1.37E-012	1.36E-012	1.36E-012
8193	3.91E-011	2.73E-012	2.74E-012	2.75E-012	2.73E-012
16385	5.68E-012	5.47E-012	5.51E-012	5.46E-012	5.47E-012
32769	1.09E-11	1.10E-11	1.10E-11	1.09E-11	1.09E-11
65537	2.15E-11	2.18E-11	2.20E-11	2.18E-11	2.19E-11
131073	4.32E-11	4.35E-11	4.40E-11	4.36E-11	4.37E-11
262145	8.79E-11	8.72E-11	8.79E-11	8.73E-11	8.73E-11
