node number	c=1e-2	c=1e-1	C=1	c=1e1	c=1e2
3	1.02E+004	3.16E+002	3.57E-002	2.68E-008	2.63E-014
5	8.12E+003	6.04E+001	8.51E-004	8.53E-010	1.35E-015
9	1.02E+004	1.50E+001	2.71E-005	2.68E-011	3.05E-015
17	4.79E+003	7.36E-001	8.49E-007	8.39E-013	6.93E-015
33	1.61E+003	2.56E-002	2.66E-008	3.01E-014	1.40E-014
65	3.22E+002	8.23E-004	8.31E-010	2.08E-014	1.91E-014
129	2.07E+001	2.59E-005	2.60E-011	4.28E-014	4.29E-014
257	7.67E-001	8.11E-007	8.16E-013	8.65E-014	8.34E-014
513	2.50E-002	2.53E-008	1.69E-013	1.67E-013	1.70E-013
1025	7.89E-004	7.92E-010	3.57E-013	3.52E-013	3.36E-013
2049	2.47E-005	2.47E-011	7.04E-013	6.87E-013	6.76E-013
4097	7.74E-007	1.52E-012	1.41E-012	1.38E-012	1.36E-012
8193	2.42E-008	2.71E-012	2.86E-012	2.78E-012	2.70E-012
16385	7.53E-010	5.47E-012	5.68E-012	5.52E-012	5.44E-012
32769	2.59E-11	1.12E-11	1.13E-11	1.10E-11	1.09E-11
65537	2.75E-11	2.25E-11	2.26E-11	2.20E-11	2.17E-11
131073	4.55E-11	4.44E-11	4.54E-11	4.40E-11	4.34E-11
262145	9.27E-11	8.90E-11	9.07E-11	8.82E-11	8.68E-11
524289	1.77E-10	1.78E-10	0	0	0
1048577	3.55E-10	3.56E-10	0	0	0
2097153	7.07E-10	0	0	0	0
