||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.57E-003	2.44E-002	3.77E-001
2.02E-004	6.27E-003	1.94E-001
2.55E-005	1.58E-003	9.78E-002
3.19E-006	3.95E-004	4.90E-002
3.99E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.87E-011	3.86E-007	1.53E-003
5.35E-011	9.72E-008	7.66E-004
2.09E-010	2.78E-008	3.85E-004
8.25E-010	1.19E-008	2.00E-004
3.33E-009	1.40E-008	1.37E-004
1.31E-008	4.20E-008	1.14E-004
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
