||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.18E-003	2.50E-002	3.75E-001
1.93E-004	6.27E-003	1.94E-001
2.53E-005	1.58E-003	9.77E-002
3.18E-006	3.95E-004	4.90E-002
3.99E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.74E-011	3.86E-007	1.53E-003
1.37E-011	9.65E-008	7.66E-004
7.03E-011	2.41E-008	3.83E-004
1.18E-010	6.05E-009	1.91E-004
2.99E-010	1.84E-009	9.57E-005
1.19E-009	4.26E-009	4.79E-005
1.04E-008	3.72E-008	2.39E-005
4.37E-008	1.57E-007	1.24E-005
3.04E-008	1.10E-007	1.90E-005
1.53E-006	5.42E-006	7.51E-005
3.94E-006	1.45E-005	3.23E-004
2.91E-006	1.05E-005	1.11E-003
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
