||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
2.15E+001	1.36E+002	2.09E+003
5.89E+001	2.09E+002	2.97E+003
2.51E+001	6.57E+001	2.31E+003
5.97E+000	3.21E+001	2.47E+003
3.34E+000	3.34E+001	2.43E+003
1.19E-001	2.59E+000	2.51E+003
4.36E-001	3.93E+000	1.24E+003
8.94E-003	1.89E+000	2.39E+003
3.23E-001	3.78E+000	2.73E+003
1.68E-002	1.30E-001	1.82E+003
2.10E-004	5.99E-003	2.37E+002
1.11E-006	2.09E-004	1.76E+001
4.65E-009	6.71E-006	1.15E+000
1.87E-011	2.11E-007	7.28E-002
1.41E-013	6.61E-009	4.56E-003
1.41E-014	2.07E-010	2.85E-004
2.59E-014	6.84E-012	1.78E-005
5.69E-014	4.62E-012	1.11E-006
1.10E-13	9.11E-12	6.97E-08
2.08E-13	1.85E-11	4.58E-09
4.68E-13	3.68E-11	2.39E-09
8.81E-13	7.35E-11	3.48E-09
