||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.57E-004	6.63E-004	2.72E-002
9.91E-006	1.95E-005	1.63E-003
6.21E-007	6.06E-007	1.02E-004
3.88E-008	1.89E-008	6.37E-006
2.43E-009	5.91E-010	3.98E-007
1.52E-010	1.85E-011	2.49E-008
9.48E-012	5.77E-013	1.56E-009
5.93E-013	3.85E-014	9.67E-011
3.67E-014	5.48E-014	5.45E-012
5.71E-015	1.16E-013	4.91E-012
8.47E-015	1.92E-013	1.02E-011
2.20E-014	3.88E-013	2.05E-011
2.74E-014	6.54E-013	4.15E-011
5.83E-014	1.38E-012	8.26E-011
1.46E-013	2.83E-012	1.65E-010
2.67E-013	5.36E-012	3.30E-010
5.75E-013	1.11E-011	6.59E-010
1.12E-012	2.21E-011	1.32E-009
0	0	0
0	0	0
0	0	0
0	0	0
