node number	L=1e-2	L=1e-1	L=1	L=1e1	L=1e2
3	5.44E+005	3.35E+003	1.42E+000	1.12E-006	1.11E-012
5	2.56E+005	4.29E+003	6.93E-002	7.15E-008	7.33E-014
9	7.24E+005	2.14E+003	4.43E-003	4.49E-009	2.99E-014
17	3.55E+005	2.33E+002	2.78E-004	2.81E-010	5.11E-014
33	4.26E+005	1.67E+001	1.74E-005	1.76E-011	1.04E-013
65	3.36E+005	1.08E+000	1.09E-006	1.15E-012	2.16E-013
129	5.14E+004	6.78E-002	6.80E-008	3.94E-013	4.11E-013
257	3.97E+003	4.25E-003	4.25E-009	7.39E-013	8.09E-013
513	2.61E+002	2.66E-004	2.66E-010	1.48E-012	1.65E-012
1025	1.65E+001	1.66E-005	2.01E-011	2.97E-012	3.29E-012
2049	1.04E+000	1.04E-006	2.28E-011	5.86E-012	6.53E-012
4097	6.49E-002	6.49E-008	4.61E-011	1.18E-011	1.30E-011
8193	4.05E-003	4.15E-009	9.14E-011	2.34E-011	2.60E-011
16385	2.53E-004	1.79E-009	1.83E-010	4.71E-011	5.22E-011
32769	1.58E-05	3.54E-09	3.67E-10	9.41E-11	1.04E-10
65537	9.93E-07	7.07E-09	7.36E-10	1.88E-10	2.08E-10
131073	1.67E-07	1.41E-08	1.47E-09	3.76E-10	4.17E-10
262145	3.00E-07	2.82E-08	2.93E-09	7.52E-10	8.34E-10
