||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.55E-004	2.85E-005	1.35E-003
9.89E-006	1.03E-006	9.06E-005
6.21E-007	3.35E-008	5.70E-006
3.88E-008	1.06E-009	3.57E-007
2.43E-009	3.31E-011	2.23E-008
1.52E-010	1.04E-012	1.39E-009
9.48E-012	7.93E-014	8.71E-011
5.93E-013	1.46E-013	5.46E-012
3.70E-014	2.87E-013	5.27E-013
2.35E-015	5.81E-013	8.11E-013
1.00E-015	1.17E-012	1.61E-012
1.40E-015	2.31E-012	3.23E-012
1.65E-015	4.62E-012	6.43E-012
2.89E-015	9.23E-012	1.30E-011
5.62E-015	1.85E-011	2.60E-011
8.77E-015	3.70E-011	5.20E-011
1.86E-014	7.38E-011	1.04E-010
3.22E-014	1.48E-010	2.08E-010
0	0	0
0	0	0
0	0	0
0	0	0
