||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	5.71E-005	2.38E-003
9.88E-006	1.87E-006	1.57E-004
6.21E-007	5.88E-008	9.90E-006
3.88E-008	1.84E-009	6.20E-007
2.43E-009	5.76E-011	3.88E-008
1.52E-010	1.80E-012	2.42E-009
9.48E-012	5.64E-014	1.51E-010
5.93E-013	5.47E-015	9.41E-012
3.70E-014	1.45E-014	6.19E-013
2.46E-015	2.05E-014	8.96E-013
2.25E-015	4.34E-014	1.78E-012
4.24E-015	1.09E-013	3.59E-012
9.39E-015	2.13E-013	7.18E-012
8.28E-015	3.96E-013	1.44E-011
2.57E-014	8.26E-013	2.89E-011
4.12E-014	1.60E-012	5.77E-011
1.07E-013	3.27E-012	1.16E-010
1.99E-013	6.46E-012	2.31E-010
0	0	0
0	0	0
0	0	0
0	0	0
