||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-003	2.44E-002	3.77E-001
2.01E-004	6.27E-003	1.94E-001
2.54E-005	1.58E-003	9.78E-002
3.19E-006	3.95E-004	4.90E-002
3.99E-007	9.88E-005	2.45E-002
4.98E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.74E-011	3.86E-007	1.53E-003
8.75E-011	9.65E-008	7.66E-004
2.45E-010	2.41E-008	3.83E-004
1.59E-010	6.05E-009	1.91E-004
1.48E-009	4.90E-009	9.57E-005
3.51E-008	1.11E-007	4.79E-005
3.77E-008	1.19E-007	2.39E-005
1.51E-007	4.78E-007	1.24E-005
3.02E-007	9.54E-007	1.59E-005
5.86E-007	1.85E-006	5.90E-005
6.98E-006	2.20E-005	2.59E-004
8.81E-005	2.78E-004	9.85E-004
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
