||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
7.50E-02	5.82E-02	4.11E-01
3.93E-02	1.52E-02	2.14E-01
1.99E-02	3.84E-03	1.08E-01
9.95E-03	9.62E-04	5.41E-02
4.98E-03	2.41E-04	2.71E-02
2.49E-03	6.01E-05	1.35E-02
1.24E-03	1.50E-05	6.77E-03
6.22E-04	3.76E-06	3.39E-03
3.11E-04	9.40E-07	1.69E-03
1.56E-04	2.35E-07	8.46E-04
7.78E-05	5.87E-08	4.23E-04
3.89E-05	1.47E-08	2.12E-04
1.94E-05	3.67E-09	1.06E-04
9.72E-06	9.18E-10	5.29E-05
4.86E-06	2.29E-10	2.65E-05
2.43E-06	5.74E-11	1.32E-05
1.22E-06	1.43E-11	6.61E-06
6.08E-07	3.59E-12	3.31E-06
3.04E-07	8.88E-13	1.65E-06
1.52E-07	2.19E-13	8.27E-07
