node number	L=1e-2	L=1e-1	L=1	L=1e1	L=1e2
3	5.51E+002	2.02E+001	3.54E-002	2.84E-006	2.81E-010
5	3.61E+002	2.07E+000	1.75E-003	1.81E-007	1.80E-011
9	3.71E+002	5.05E-001	1.12E-004	1.14E-008	1.13E-012
17	1.93E+002	5.76E-002	7.04E-006	7.12E-010	7.08E-014
33	4.44E+001	4.19E-003	4.41E-007	4.45E-011	4.48E-015
65	8.05E-001	2.72E-004	2.76E-008	2.78E-012	5.44E-016
129	1.25E-001	1.72E-005	1.72E-009	1.74E-013	1.34E-015
257	9.95E-003	1.08E-006	1.08E-010	1.08E-014	7.92E-016
513	6.60E-004	6.73E-008	6.73E-012	1.54E-015	1.52E-015
1025	4.19E-005	4.21E-009	4.21E-013	1.29E-015	1.79E-015
2049	2.63E-006	2.63E-010	2.70E-014	5.13E-015	3.40E-015
4097	1.64E-007	1.64E-011	4.79E-015	3.22E-015	3.29E-015
8193	1.03E-008	1.03E-012	6.44E-015	5.90E-015	6.29E-015
16385	6.42E-010	7.33E-014	1.23E-014	5.16E-015	2.00E-014
32769	4.01E-11	4.88E-14	4.24E-14	9.49E-15	3.73E-14
65537	6.30E-12	3.10E-14	8.37E-15	2.42E-14	4.28E-14
131073	3.06E-12	2.55E-13	5.80E-14	3.72E-14	1.20E-13
262145	1.89E-12	6.11E-13	1.80E-13	7.13E-14	1.94E-13
