||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.88E-02	5.70E-03	9.68E-02
4.72E-03	7.32E-04	2.49E-02
1.18E-03	9.19E-05	6.28E-03
2.95E-04	1.15E-05	1.57E-03
7.38E-05	1.44E-06	3.93E-04
1.84E-05	1.80E-07	9.83E-05
4.61E-06	2.25E-08	2.46E-05
1.15E-06	2.81E-09	6.14E-06
2.88E-07	3.51E-10	1.54E-06
7.21E-08	4.39E-11	3.84E-07
1.80E-08	5.49E-12	9.60E-08
4.50E-09	6.86E-13	2.40E-08
1.13E-09	8.59E-14	6.00E-09
2.81E-10	1.53E-14	1.50E-09
7.04E-11	1.47E-14	3.75E-10
1.76E-11	3.06E-14	9.44E-11
4.40E-12	6.95E-14	3.33E-11
1.10E-12	1.46E-13	5.16E-11
3.39E-13	2.66E-13	9.59E-11
3.57E-13	5.18E-13	1.84E-10
