||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.25E-005	3.10E-004	1.17E-002
3.84E-007	1.91E-005	1.45E-003
1.20E-008	1.19E-006	1.81E-004
3.75E-010	7.46E-008	2.26E-005
1.17E-011	4.66E-009	2.83E-006
1.12E-012	2.91E-010	3.54E-007
4.78E-012	2.37E-011	4.43E-008
1.89E-011	5.97E-011	6.71E-009
7.43E-011	2.35E-010	1.26E-008
3.01E-010	9.50E-010	6.53E-008
1.19E-009	3.75E-009	3.84E-007
4.79E-009	1.51E-008	2.12E-006
1.91E-008	6.04E-008	1.29E-005
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
