||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.88E-003	2.55E-002	3.82E-001
2.33E-004	6.40E-003	1.95E-001
2.70E-005	1.59E-003	9.79E-002
3.25E-006	3.96E-004	4.90E-002
4.01E-007	9.89E-005	2.45E-002
4.99E-008	2.47E-005	1.22E-002
6.23E-009	6.18E-006	6.12E-003
7.79E-010	1.54E-006	3.06E-003
9.74E-011	3.86E-007	1.53E-003
1.25E-011	9.65E-008	7.66E-004
4.67E-011	2.41E-008	3.83E-004
1.43E-010	6.05E-009	1.91E-004
9.78E-010	3.55E-009	9.57E-005
4.39E-009	1.45E-008	4.79E-005
1.64E-008	5.63E-008	2.40E-005
6.93E-008	2.34E-007	1.28E-005
3.20E-007	1.08E-006	1.96E-005
1.13E-006	3.84E-006	7.54E-005
5.19E-006	1.75E-005	2.97E-004
1.83E-005	6.27E-005	1.20E-003
0.00E+000	0.00E+000	0.00E+000
0.00E+000	0.00E+000	0.00E+000
