ndofs	deal.ii_lagrangian
3	1.88E-003
7	2.41E-004
15	3.04E-005
31	3.81E-006
63	4.77E-007
127	5.96E-008
255	7.45E-009
511	9.31E-010
1023	1.18E-010
2047	8.11E-011
4095	3.18E-010
8191	1.27E-009
16383	2.97E-009
32767	2.04E-008
65535	8.12E-008
131071	3.25E-007
262143	1.30E-006
524287	5.21E-006
1048575	2.11E-005
2097151	8.39E-005
4194303	3.34E-004
8388607	1.34E-003
