||e_p||_L2	||e_u||_L2	||e_u||_H1semi
3.30E-012	1.25E-011	1.05E-013
3.96E-012	1.98E-011	1.38E-013
2.98E-012	3.52E-011	2.96E-013
4.79E-012	1.08E-010	5.52E-013
3.75E-012	1.11E-010	1.15E-012
4.89E-012	2.10E-010	2.17E-012
5.28E-012	4.46E-010	4.49E-012
8.49E-012	9.07E-010	9.09E-012
1.01E-011	1.72E-009	1.77E-011
8.86E-012	3.38E-009	3.62E-011
2.38E-011	6.77E-009	7.44E-011
2.53E-011	1.35E-008	1.52E-010
