||e_p||_L2	||e_u||_L2	||e_u||_H1semi
7.13E-012	1.15E-011	1.31E-010
9.87E-012	3.29E-011	2.08E-010
8.52E-012	5.79E-011	4.92E-010
1.56E-011	1.89E-010	8.36E-010
1.29E-011	3.71E-010	1.98E-009
1.41E-011	5.46E-010	3.47E-009
2.68E-011	1.04E-009	7.18E-009
2.58E-11	2.05E-09	1.35E-08
8.99E-11	4.25E-09	2.74E-08
1.23E-10	8.32E-09	5.36E-08
3.59E-10	1.72E-08	1.11E-07
6.57E-10	3.37E-08	2.18E-07
