||e_p||_L2	||e_u||_L2	||e_u||_H1semi
3.40E-012	6.16E-012	7.66E-015
4.56E-012	1.11E-011	1.41E-014
3.88E-012	5.17E-011	2.91E-014
3.79E-012	4.85E-011	5.32E-014
4.02E-012	9.89E-011	1.10E-013
8.87E-012	1.94E-010	2.25E-013
6.05E-012	4.25E-010	4.91E-013
4.64E-012	8.37E-010	8.67E-013
1.02E-011	1.68E-009	1.93E-012
1.78E-011	3.49E-009	3.74E-012
4.17E-011	6.81E-009	7.06E-012
5.70E-011	1.35E-008	1.42E-011
