||e_p||_L2	||e_u||_L2	||e_u||_H1semi
4.61E-012	1.20E-011	5.51E-012
3.64E-012	7.67E-012	1.48E-011
3.84E-012	2.90E-011	2.40E-011
4.27E-012	5.32E-011	5.28E-011
3.94E-012	1.05E-010	1.12E-010
9.14E-012	2.26E-010	2.32E-010
6.81E-012	4.65E-010	4.77E-010
1.28E-011	9.10E-010	9.40E-010
1.53E-011	1.91E-009	1.88E-009
2.75E-011	3.67E-009	3.74E-009
2.89E-011	7.52E-009	7.65E-009
7.49E-011	1.53E-008	1.51E-008
