l2_error	h1_semi_error	h2_semi_error
2.90E-015	5.58E-14	3.06E-12
2.48E-15	1.06E-13	1.19E-11
2.70E-15	2.15E-13	4.92E-11
5.81E-15	8.64E-13	2.93E-10
2.44E-10	3.74E-08	3.40E-05
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
