l2_error	h1_semi_error	h2_semi_error
2.89E-15	3.49E-14	1.09E-12
2.94E-15	6.76E-14	4.59E-12
3.30E-15	1.30E-13	1.85E-11
4.30E-15	2.61E-13	7.50E-11
6.22E-12	3.41E-10	1.46E-07
2.10E-09	9.30E-08	5.92E-05
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
