ndofs	l2err	h1_semierror
1	0.0328387	0.2330633
3	0.00830743	0.11582157
7	0.00208375	0.05783605
15	0.000521383	0.028909117
31	0.000130374	0.014453526
63	3.26E-05	0.007226605
127	8.15E-06	0.003613281
255	2.04E-06	0.001806643
511	5.09E-07	0.00090332
1023	1.27E-07	0.00045166
2047	3.18E-08	0.00022583
4095	7.96E-09	0.000112915
8191	1.99E-09	5.64575E-05
16383	4.97E-10	2.82287E-05
32767	1.25E-10	1.41144E-05
65535	3.14E-11	7.05719E-06
