ndofs	l2err	h1_semierror
3	0.000280183	0.004545887
5	3.74E-05	0.000859039
9	1.97E-06	9.89612E-05
17	1.17E-07	1.20818E-05
33	7.25E-09	1.50099E-06
65	4.52E-10	1.87334E-07
129	2.82E-11	2.34082E-08
257	1.78E-12	2.92576E-09
513	8.29E-13	3.65881E-10
1025	7.13E-13	4.59887E-11
2049	7.67E-12	2.89949E-11
4097	5.20E-11	1.66643E-10
8193	2.45E-10	7.73888E-10
16385	3.71E-10	2.00664E-09
32769	2.76E-09	1.12589E-08
65537	2.36E-08	7.55298E-08
