ndofs	l2err	h1_semierror
4	6.83E-05	0.001047588
6	4.95E-06	9.50199E-05
10	1.19E-07	5.37922E-06
18	3.44E-09	3.33207E-07
34	1.06E-10	2.09933E-08
66	3.30E-12	1.32208E-09
130	1.28E-13	8.28997E-11
258	6.91E-14	6.80546E-12
514	4.41E-13	3.4788E-12
1026	6.24E-12	1.90815E-11
2050	1.55E-11	5.09964E-11
4098	4.57E-11	1.48403E-10
8194	2.10E-10	6.63989E-10
16386	1.23E-09	3.90461E-09
32770	2.13E-09	8.01477E-09
65538	3.61E-09	1.66711E-08
