ndofs	l2err	h1_semierror
5	4.11E-06	8.35726E-05
7	6.28E-07	1.52279E-05
11	8.13E-09	3.89512E-07
19	1.13E-10	1.11735E-08
35	1.70E-12	3.4068E-10
67	2.72E-14	1.11611E-11
131	7.73E-15	3.83455E-12
259	1.76E-14	3.82452E-12
515	1.27E-12	4.51359E-12
1027	2.31E-12	9.57414E-12
2051	7.15E-12	2.4749E-11
4099	5.98E-11	1.90341E-10
8195	8.57E-11	4.89854E-10
16387	5.01E-10	1.69471E-09
32771	3.34E-09	1.07929E-08
65539	1.20E-08	3.80972E-08
