||e_p||_L2	||e_p||_H1semi	||e_p||_H2semi
1.54E-004	3.12E-005	1.31E-003
9.89E-006	1.07E-006	8.97E-005
6.21E-007	3.38E-008	5.69E-006
3.88E-008	1.06E-009	3.57E-007
2.43E-009	3.31E-011	2.23E-008
1.52E-010	1.05E-012	1.40E-009
9.48E-012	3.34E-013	5.43E-010
5.93E-013	8.21E-013	2.64E-009
3.83E-014	2.25E-012	1.46E-008
1.51E-014	5.81E-012	7.47E-008
1.99E-014	1.68E-011	4.28E-007
1.03E-014	4.63E-011	2.38E-006
2.64E-014	1.30E-010	1.33E-005
2.40E-014	3.70E-010	7.60E-005
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
