deg = 1	deg = 2	deg = 3	deg = 4	deg = 5
1	4	9	16	25
9	16	25	36	49
49	64	81	100	121
225	256	289	324	361
961	1024	1089	1156	1225
3969	4096	4225	4356	4489
16129	16384	16641	16900	17161
65025	65536	66049	66564	67081
261121	262144	263169	264196	265225
1.05E+06	1.05E+06	1.05E+06	0	0
4.19E+06	4.19E+06	0	0	0
