n_dofs	condition_number	1.00E-16	1.00E-02	1.00E+00
5	4.22E+00	2.18E+00	2.28E+00	2.28E+00
9	4.32E+00	2.01E+00	2.08E+00	2.08E+00
17	4.34E+00	1.95E+00	1.93E+00	1.93E+00
33	4.35E+00	1.84E+00	1.83E+00	1.83E+00
65	4.35E+00	1.77E+00	1.77E+00	1.77E+00
129	4.35E+00	1.73E+00	1.74E+00	1.74E+00
257	4.35E+00	1.72E+00	1.72E+00	1.72E+00
513	4.35E+00	1.71E+00	1.71E+00	1.71E+00
