l2_error	h1_semi_error	h2_semi_error
4.83E-16	1.53E-15	2.23E-14
4.61E-16	2.14E-15	1.14E-13
9.05E-16	4.52E-15	3.38E-13
9.50E-15	4.26E-14	1.87E-12
9.44E-15	5.81E-14	7.30E-12
5.76E-14	2.49E-13	2.67E-11
5.39E-14	4.13E-13	1.08E-10
2.28E-13	1.13E-12	4.53E-10
7.03E-13	3.79E-12	1.79E-09
1.02E-12	8.37E-12	7.07E-09
1.36E-11	6.71E-11	2.80E-08
4.45E-12	5.23E-11	1.13E-07
5.85E-11	4.32E-10	4.57E-07
1.63E-10	1.28E-09	1.81E-06
1.18E-09	5.82E-09	7.25E-06
3.73E-09	2.69E-08	2.90E-05
1.45E-08	1.05E-07	1.16E-04
6.17E-08	3.99E-07	4.63E-04
8.64E-08	7.62E-07	1.86E-03
2.09E-06	8.88E-06	7.42E-03
