l2_error	h1_semi_error	h2_semi_error
9.11E-17	3.98E-16	3.79E-15
1.43E-16	7.44E-16	1.21E-14
2.50E-16	1.58E-15	4.15E-14
6.40E-16	3.81E-15	1.67E-13
5.89E-16	6.93E-15	6.68E-13
9.86E-15	3.74E-14	2.75E-12
1.08E-14	8.32E-14	9.57E-12
2.30E-14	1.77E-13	3.89E-11
2.02E-13	1.05E-12	1.61E-10
3.51E-13	1.50E-12	6.18E-10
1.34E-12	9.80E-12	2.44E-09
1.14E-11	4.47E-11	1.01E-08
3.77E-11	1.64E-10	4.01E-08
1.20E-10	4.53E-10	1.57E-07
5.65E-10	2.68E-09	6.49E-07
2.00E-09	7.02E-09	2.60E-06
5.06E-09	3.77E-08	1.01E-05
2.24E-08	1.00E-07	4.03E-05
6.89E-08	4.87E-07	1.61E-04
8.71E-07	3.52E-06	6.49E-04
1.08E-06	8.20E-06	2.56E-03
