l2_error	h1_semi_error	h2_semi_error
1.67E-16	6.66E-16	9.06E-15
2.68E-16	1.95E-15	3.20E-14
9.51E-16	4.65E-15	1.19E-13
1.50E-15	1.30E-14	2.67E-13
2.03E-15	1.54E-14	1.58E-12
3.16E-15	4.26E-14	6.67E-12
1.93E-14	1.32E-13	2.57E-11
1.08E-13	5.08E-13	1.09E-10
3.03E-13	1.42E-12	4.35E-10
3.18E-13	3.32E-12	1.72E-09
3.11E-12	1.34E-11	7.07E-09
9.65E-12	4.63E-11	2.72E-08
2.72E-11	1.18E-10	1.11E-07
9.28E-11	3.65E-10	4.41E-07
4.10E-10	1.55E-09	1.76E-06
3.94E-10	2.71E-09	7.08E-06
2.08E-09	9.61E-09	2.83E-05
4.03E-09	3.01E-08	1.12E-04
5.10E-09	8.94E-08	4.51E-04
3.37E-08	3.24E-07	1.80E-03
2.58E-07	1.25E-06	7.22E-03
