p5_dealii	mix_rt4p4disc	mix_bdm4q3disc	p5_fenics	bdm4q3_fenics
1.13E-003	0.00E+000	1.31E-003	4.57E-04	4.19E-04
7.72E-005	0.00E+000	8.97E-005	3.09E-05	2.85E-05
4.89E-006	0.00E+000	5.69E-006	1.95E-06	1.80E-06
3.06E-007	0.00E+000	3.57E-007	1.22E-07	1.13E-07
1.92E-008	0.00E+000	2.23E-008	7.70E-09	3.12E-06
1.26E-009	0.00E+000	1.68E-009	2.36E-09	0.00E+00
1.13E-009	0.00E+000	0	9.15E-09	0.00E+00
4.67E-009	0.00E+000	0	0.00E+00	0.00E+00
1.85E-008	0.00E+000	0	0.00E+000	0.00E+00
