p5_dealii	mix_rt4p4disc	mix_bdm4q3disc	p5_fenics	bdm4q3_fenics
2.20E-005	0.00E+000	3.12E-005	8.36E-06	9.82E-06
7.52E-007	0.00E+000	1.07E-006	2.83E-07	3.17E-07
2.38E-008	0.00E+000	3.38E-008	8.94E-09	9.92E-09
7.45E-010	0.00E+000	1.06E-009	2.80E-10	3.10E-10
2.35E-011	0.00E+000	3.31E-011	4.40E-11	5.10E-09
1.42E-011	0.00E+000	1.58E-012	1.70E-10	0.00E+00
7.04E-011	0.00E+000	0	6.73E-10	0.00E+00
3.24E-010	0.00E+000	0	0.00E+00	0.00E+00
1.29E-009	0.00E+000	0	0.00E+00	0.00E+00
