l2_error	h1_semi_error	h2_semi_error
6.55E-03	2.02E-03	4.68E-02
1.62E-03	2.50E-04	1.20E-02
4.04E-04	3.12E-05	3.01E-03
1.01E-04	3.90E-06	7.54E-04
2.52E-05	4.87E-07	1.89E-04
6.31E-06	6.09E-08	4.71E-05
1.58E-06	7.61E-09	1.18E-05
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
