l2_error	h1_semi_error	h2_semi_error
2.45E-005	4.11E-04	1.10E-02
2.55E-007	8.36E-06	4.57E-04
4.49E-09	2.83E-07	3.09E-05
7.09E-11	8.94E-09	1.95E-06
2.90E-12	2.80E-10	1.22E-07
1.36E-11	4.40E-11	7.70E-09
5.38E-11	1.70E-10	2.36E-09
2.13E-10	6.73E-10	9.15E-09
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
0.00E+00	0.00E+00	0.00E+00
